id	seconds	censor
1	2.88	1
2	4.63	0
3	2.36	0
4	2.68	1
5	2.5	1
6	4.3	0
7	1.86	1
8	4.01	0
9	1.41	1
10	9.59	1
11	4.44	1
12	3.14	1
13	2.83	1
14	12.29	1
15	4.96	1
16	5.88	0
17	2.12	1
18	6.03	1
19	4.1	1
20	6.3	1
21	2.78	0
22	2.53	1
23	2.54	1
24	3.24	1
25	3.22	1
26	7.2	1
27	2.62	1
28	3.46	0
29	4.52	1
31	2.19	1
32	3.05	0
33	2.92	1
34	4.51	1
35	3.21	1
37	17.15	0
38	5.73	1
39	5.39	1
40	1.51	1
41	3.17	1
42	3.78	1
43	6.21	0
44	2.89	1
45	2.56	1
46	4.18	1
47	3.56	1
48	4.71	0
49	2.76	0
50	1.67	1
51	13.18	1
52	3.58	1
53	3.57	1
54	1.41	0
55	6.6	0
56	2.48	1
57	5.12	0
58	2.98	1
60	1.68	1
