obs	name	adj_gross	num_movies	avg_gross	top_movie	top_gross	gender	years_until_nom	censor	first_film_appearance	first_oscar_nom
1	Harrison Ford	10022.8	42	238.6	Star Wars	1597.7	Male	19	1	1966	1985
2	Tom Hanks	7719	48	160.8	Forrest Gump	705.2	Male	8	1	1980	1988
3	Anthony Daniels	7006.6	9	778.5	Star Wars	1597.7	Male	41	0	1977	2018
4	Samuel L. Jackson	6876.9	73	94.2	The Avengers	689.6	Male	22	1	1972	1994
5	Eddie Murphy	6775.2	39	173.7	Shrek 2	637.3	Male	25	1	1982	2007
6	Tom Cruise	6430.4	39	164.9	Top Gun	430.8	Male	9	1	1981	1990
7	Morgan Freeman	6403.5	63	101.6	The Dark Knight	667.9	Male	23	1	1964	1987
8	Robin Williams	5782.1	50	115.6	Mrs. Doubtfire	472.6	Male	10	1	1977	1987
9	Dustin Hoffman	5734.1	43	133.4	The Graduate	767.6	Male	1	1	1967	1968
10	Robert DeNiro	5498.1	81	67.9	Meet the Fockers	396.2	Male	10	1	1965	1975
11	Carrie Fisher	5479.9	18	304.4	Star Wars	1597.7	Female	42	0	1975	2017
12	Bruce Willis	5399.3	60	90	Sixth Sense	516.5	Male	38	0	1980	2018
13	"Robert Downey, Jr."	5306.4	54	98.3	The Avengers	689.6	Male	23	1	1970	1993
14	Sean Connery	5243.8	37	141.7	Thunderball	671	Male	34	1	1954	1988
15	Mark Hamill	5192	13	399.4	Star Wars	1597.7	Male	41	0	1977	2018
16	John Travolta	4944.7	45	109.9	Grease	690.4	Male	3	1	1975	1978
17	Clint Eastwood	4942.8	46	107.5	Every Which Way But Loose	326.6	Male	37	1	1955	1992
18	Sylvester Stallone	4879.4	42	116.2	Rocky	493.7	Male	7	1	1969	1976
19	Michael Caine	4837.9	59	82	The Dark Knight	667.9	Male	10	1	1956	1966
20	Johnny Depp	4825.3	47	102.7	Dead Man's Chest	579.7	Male	20	1	1984	2004
21	Julia Roberts	4811.1	44	109.3	Pretty Woman	378.3	Female	2	1	1987	1989
22	Ian McKellen	4810.9	32	150.3	Return of the King	552.9	Male	30	1	1969	1999
23	Will Smith	4757.7	25	190.3	Independence Day	621.3	Male	10	1	1992	2002
24	Gary Oldman	4699.2	41	114.6	The Dark Knight	667.9	Male	30	1	1982	2012
25	Tommy Lee Jones	4577.9	47	97.4	Men in Black	489.9	Male	21	1	1970	1991
26	Robert Redford	4570.8	31	147.4	The Sting	799.6	Male	13	1	1960	1973
27	Stanley Tucci	4450	52	85.6	Beauty and the Beast	509.5	Male	24	1	1985	2009
28	Matt Damon	4435.4	42	105.6	Saving Private Ryan	410.4	Male	10	1	1988	1998
29	Sally Field	4414.5	28	157.7	Forrest Gump	705.2	Female	18	1	1962	1980
30	Cameron Diaz	4399	34	129.4	Shrek 2	637.3	Female	24	0	1994	2018
31	Robert Duvall	4306.5	55	78.3	The Godfather	707.9	Male	10	1	1962	1972
